ENGINEERING_INSTITUTE,LAW_UNIVERSITY
Indian Institute of Technology DelhiMore Details |  |,National Law UniversityMore Details |  |
Indian Institute of Technology DelhiMore Details |  |,Jamia Millia IslamiaMore Details |  |
Indian Institute of Technology DelhiMore Details |  |,Indian Law InstituteMore Details |  |
Indian Institute of Technology BombayMore Details |  |,Symbiosis Law SchoolMore Details |  |
Indian Institute of Technology KanpurMore Details |  |,Dr. Ram Manohar Lohiya National Law UniversityMore Details |  |
Indian Institute of Technology KanpurMore Details |  |,Aligarh Muslim UniversityMore Details |  |
Indian Institute of Technology KanpurMore Details |  |,Banaras Hindu UniversityMore Details |  |
Indian Institute of Technology KharagpurMore Details |  |,Indian Institute of Technology KharagpurMore Details |  |
Indian Institute of Technology KharagpurMore Details |  |,The West Bengal National University of Juridicial SciencesMore Details |  |
Indian Institute of Technology GuwahatiMore Details |  |,National Law University and Judicial AcademyMore Details |  |
Indian Institute of Technology HyderabadMore Details |  |,Nalsar University of LawMore Details |  |
Indian Institute of Technology IndoreMore Details |  |,"National Law Institute University, BhopalMore Details |  |"
Indian Institute of Technology (BHU) VaranasiMore Details |  |,Dr. Ram Manohar Lohiya National Law UniversityMore Details |  |
Indian Institute of Technology (BHU) VaranasiMore Details |  |,Aligarh Muslim UniversityMore Details |  |
Indian Institute of Technology (BHU) VaranasiMore Details |  |,Banaras Hindu UniversityMore Details |  |
National Institute of Technology KarnatakaMore Details |  |,National Law School of India UniversityMore Details |  |
National Institute of Technology KarnatakaMore Details |  |,Christ UniversityMore Details |  |
National Institute of Technology RourkelaMore Details |  |,Kalinga Institute of Industrial TechnologyMore Details |  |
National Institute of Technology RourkelaMore Details |  |,National Law UniversityMore Details |  |
Jadavpur UniversityMore Details |  |,Indian Institute of Technology KharagpurMore Details |  |
Jadavpur UniversityMore Details |  |,The West Bengal National University of Juridicial SciencesMore Details |  |
Institute of Chemical TechnologyMore Details |  |,Symbiosis Law SchoolMore Details |  |
National Institute of Technology WarangalMore Details |  |,Nalsar University of LawMore Details |  |
Indian Institute of Engineering Science and TechnologyMore Details |  |,Indian Institute of Technology KharagpurMore Details |  |
Indian Institute of Engineering Science and TechnologyMore Details |  |,The West Bengal National University of Juridicial SciencesMore Details |  |
Indian Institute of Technology BhubaneswarMore Details |  |,Kalinga Institute of Industrial TechnologyMore Details |  |
Indian Institute of Technology BhubaneswarMore Details |  |,National Law UniversityMore Details |  |
Indian Institute of Technology GandhinagarMore Details |  |,Gujarat National Law UniversityMore Details |  |
Indian Institute of Technology RoparMore Details |  |,The Rajiv Gandhi National University of LawMore Details |  |
Visvesvaraya National Institute of TechnologyMore Details |  |,Symbiosis Law SchoolMore Details |  |
Jamia Millia IslamiaMore Details |  |,National Law UniversityMore Details |  |
Jamia Millia IslamiaMore Details |  |,Jamia Millia IslamiaMore Details |  |
Jamia Millia IslamiaMore Details |  |,Indian Law InstituteMore Details |  |
Thapar Institute of Engineering & TechnologyMore Details |  |,The Rajiv Gandhi National University of LawMore Details |  |
Birla Institute of Technology & ScienceMore Details |  |,National Law UniversityMore Details |  |
Amity University NoidaMore Details |  |,Dr. Ram Manohar Lohiya National Law UniversityMore Details |  |
Amity University NoidaMore Details |  |,Aligarh Muslim UniversityMore Details |  |
Amity University NoidaMore Details |  |,Banaras Hindu UniversityMore Details |  |
Siksha `O` AnusandhanMore Details |  |,Kalinga Institute of Industrial TechnologyMore Details |  |
Siksha `O` AnusandhanMore Details |  |,National Law UniversityMore Details |  |
Malaviya National Institute of TechnologyMore Details |  |,National Law UniversityMore Details |  |
Delhi Technological UniversityMore Details |  |,National Law UniversityMore Details |  |
Delhi Technological UniversityMore Details |  |,Jamia Millia IslamiaMore Details |  |
Delhi Technological UniversityMore Details |  |,Indian Law InstituteMore Details |  |
Aligarh Muslim UniversityMore Details |  |,Dr. Ram Manohar Lohiya National Law UniversityMore Details |  |
Aligarh Muslim UniversityMore Details |  |,Aligarh Muslim UniversityMore Details |  |
Aligarh Muslim UniversityMore Details |  |,Banaras Hindu UniversityMore Details |  |
Kalinga Institute of Industrial TechnologyMore Details |  |,Kalinga Institute of Industrial TechnologyMore Details |  |
Kalinga Institute of Industrial TechnologyMore Details |  |,National Law UniversityMore Details |  |
International Institute of Information Technology HyderabadMore Details |  |,Nalsar University of LawMore Details |  |
Manipal Institute of TechnologyMore Details |  |,National Law School of India UniversityMore Details |  |
Manipal Institute of TechnologyMore Details |  |,Christ UniversityMore Details |  |
National Institute of Technology SilcharMore Details |  |,National Law University and Judicial AcademyMore Details |  |
National Institute of Technology DurgapurMore Details |  |,Indian Institute of Technology KharagpurMore Details |  |
National Institute of Technology DurgapurMore Details |  |,The West Bengal National University of Juridicial SciencesMore Details |  |
Motilal Nehru National Institute of TechnologyMore Details |  |,Dr. Ram Manohar Lohiya National Law UniversityMore Details |  |
Motilal Nehru National Institute of TechnologyMore Details |  |,Aligarh Muslim UniversityMore Details |  |
Motilal Nehru National Institute of TechnologyMore Details |  |,Banaras Hindu UniversityMore Details |  |
College of Engineering PuneMore Details |  |,Symbiosis Law SchoolMore Details |  |
Dr. B. R. Ambedkar National Institute of TechnologyMore Details |  |,The Rajiv Gandhi National University of LawMore Details |  |
Indian Institute of Technology JodhpurMore Details |  |,National Law UniversityMore Details |  |
Sardar Vallabhbhai National Institute of TechnologyMore Details |  |,Gujarat National Law UniversityMore Details |  |
Visvesvaraya Technological UniversityMore Details |  |,National Law School of India UniversityMore Details |  |
Visvesvaraya Technological UniversityMore Details |  |,Christ UniversityMore Details |  |
Indraprastha Institute of Information Technology DelhiMore Details |  |,National Law UniversityMore Details |  |
